# t Fx Fy Fz
0.349 2.24558512511464e-08 2.24614238321461e-08 1.11194022004892e-05
0.35 2.24468534824049e-08 2.24524261564526e-08 1.11193256916532e-05
0.351 2.24379552047919e-08 2.24435279523358e-08 1.11192501807341e-05
0.352 2.2429148788886e-08 2.24347216653301e-08 1.11191756102756e-05
0.353 2.2420438526315e-08 2.24260114644467e-08 1.11191020238945e-05
0.354 2.2411823677935e-08 2.24173967093345e-08 1.11190293901429e-05
0.355 2.24032997146553e-08 2.24088728346672e-08 1.11189576403738e-05
0.356 2.23948694064066e-08 2.24004426042694e-08 1.11188868388409e-05
0.357 2.23865254534984e-08 2.23920987987665e-08 1.11188169733314e-05
0.358 2.2378277585923e-08 2.23838509623206e-08 1.11187480050951e-05
0.359 2.23701147750891e-08 2.2375688234219e-08 1.11186798709794e-05
0.36 2.23620429530465e-08 2.23676164749223e-08 1.11186126702009e-05
0.361 2.23540565864824e-08 2.23596302084116e-08 1.11185462776707e-05
0.362 2.23461546872476e-08 2.23517283988634e-08 1.11184807670978e-05
0.363 2.23383414288562e-08 2.23439152359491e-08 1.11184161037801e-05
0.364 2.23306105926385e-08 2.23361844915784e-08 1.1118352241815e-05
0.365 2.23229639160299e-08 2.23285378973887e-08 1.11182892186655e-05
0.366 2.23154013553931e-08 2.23209754253842e-08 1.11182269824165e-05
0.367 2.23079194158102e-08 2.2313493555782e-08 1.11181655455842e-05
0.368 2.23005181783315e-08 2.23060924277623e-08 1.11181049103039e-05
0.369 2.22931992166927e-08 2.22987735128778e-08 1.11180450547751e-05
0.37 2.22859608217361e-08 2.22915351913215e-08 1.11179859243657e-05
0.371 2.22787978694486e-08 2.22843723586069e-08 1.11179275773437e-05
0.372 2.22717146308433e-08 2.22772891576637e-08 1.11178699829175e-05
0.373 2.22647091333949e-08 2.22702837616273e-08 1.11178131303596e-05
0.374 2.22577794298099e-08 2.22633541278605e-08 1.11177569390345e-05
0.375 2.22509257877141e-08 2.2256500555557e-08 1.11177015408314e-05
0.376 2.2244142879078e-08 2.22497177572579e-08 1.11176468031701e-05
0.377 2.22374372664448e-08 2.224301222545e-08 1.11175927707305e-05
0.378 2.22308059370422e-08 2.22363809840617e-08 1.11175394501633e-05
